match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.84,2.0,95.0,1.0,1.0,1.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.253,7.094,1.0,118.0,0.0,0.0,1.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1.0,1.0,3.0,0.0,0.0,0.0,0.0,15,15,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,19.808,4.0,120.0,0.0,1.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1.0,1.0,4.0,0.0,0.0,0.0,0.0,15,30,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.108,19.808,4.0,130.0,2.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1.0,1.0,5.0,0.0,0.0,0.0,0.0,30,30,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.813,1.0,112.0,4.0,1.0,2.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1.0,1.0,6.0,0.0,0.0,0.0,0.0,40,30,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.291,4.249,2.0,97.0,2.0,1.0,1.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1.0,1.0,7.0,0.0,0.0,0.0,0.0,40,40,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817,17.821,1.0,109.0,4.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1.0,1.0,8.0,0.0,0.0,0.0,0.0,40,40,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.503,18.067,6.0,105.0,0.0,1.0,1.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1.0,1.0,9.0,0.0,0.0,0.0,0.0,40,40,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.489,24.594,7.0,128.0,1.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1.0,1.0,10.0,0.0,0.0,0.0,0.0,40,40,1.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.235,27.427,5.0,110.0,0.0,1.0,1.0
